DATE,AWAY,HOME
11/29/2024,EDM,UTH
11/30/2024,MTL,NYR
11/30/2024,CAR,FLA
11/30/2024,TOR,TBL
11/30/2024,WSH,NJD
11/30/2024,CGY,PIT
11/30/2024,PHI,STL
11/30/2024,OTT,LAK
11/30/2024,BUF,NYI
11/30/2024,NSH,MIN
11/30/2024,EDM,COL
11/30/2024,UTH,VGK
11/30/2024,SJS,SEA
12/1/2024,VAN,DET
12/1/2024,MTL,BOS
12/1/2024,CBJ,CHI
12/1/2024,WPG,DAL
12/1/2024,OTT,ANA
12/2/2024,NJD,NYR
12/2/2024,CHI,TOR
12/2/2024,DAL,UTH
12/3/2024,DET,BOS
12/3/2024,COL,BUF
12/3/2024,NYI,MTL
12/3/2024,FLA,PIT
12/3/2024,SJS,WSH
12/3/2024,SEA,CAR
12/3/2024,VAN,MIN
12/3/2024,STL,WPG
12/3/2024,CBJ,CGY
12/3/2024,EDM,VGK
12/4/2024,NSH,TOR
12/4/2024,BOS,CHI
12/4/2024,VGK,ANA
12/4/2024,DAL,LAK
12/5/2024,WPG,BUF
12/5/2024,NSH,MTL
12/5/2024,DET,OTT
12/5/2024,SJS,TBL
12/5/2024,FLA,PHI
12/5/2024,COL,CAR
12/5/2024,SEA,NYI
12/5/2024,STL,CGY
12/5/2024,CBJ,EDM
12/6/2024,WSH,TOR
12/6/2024,SEA,NJD
12/6/2024,PIT,NYR
12/6/2024,CBJ,VAN
12/6/2024,DAL,VGK
12/6/2024,MIN,ANA
12/7/2024,PHI,BOS
12/7/2024,UTH,BUF
12/7/2024,WPG,CHI
12/7/2024,CAR,NYI
12/7/2024,SJS,FLA
12/7/2024,WSH,MTL
12/7/2024,NSH,OTT
12/7/2024,COL,DET
12/7/2024,TOR,PIT
12/7/2024,MIN,LAK
12/7/2024,STL,EDM
12/8/2024,SEA,NYR
12/8/2024,TBL,VAN
12/8/2024,NYI,OTT
12/8/2024,CBJ,WPG
12/8/2024,COL,NJD
12/8/2024,UTH,PHI
12/8/2024,CGY,DAL
12/9/2024,DET,BUF
12/9/2024,CHI,NYR
12/9/2024,ANA,MTL
12/10/2024,TOR,NJD
12/10/2024,COL,PIT
12/10/2024,SJS,CAR
12/10/2024,PHI,CBJ
12/10/2024,LAK,NYI
12/10/2024,CGY,NSH
12/10/2024,BOS,WPG
12/10/2024,TBL,EDM
12/10/2024,MIN,UTH
12/10/2024,STL,VAN
12/10/2024,FLA,SEA
12/11/2024,NYR,BUF
12/11/2024,ANA,OTT
12/12/2024,ANA,TOR
12/12/2024,PIT,MTL
12/12/2024,LAK,NJD
12/12/2024,DET,PHI
12/12/2024,WSH,CBJ
12/12/2024,CHI,NYI
12/12/2024,SJS,STL
12/12/2024,NSH,DAL
12/12/2024,EDM,MIN
12/12/2024,VGK,WPG
12/12/2024,UTH,COL
12/12/2024,TBL,CGY
12/12/2024,FLA,VAN
12/12/2024,BOS,SEA
12/13/2024,OTT,CAR
12/14/2024,CHI,NJD
12/14/2024,LAK,NYR
12/14/2024,PHI,MIN
12/14/2024,VGK,EDM
12/14/2024,PIT,OTT
12/14/2024,TOR,DET
12/14/2024,BUF,WSH
12/14/2024,ANA,CBJ
12/14/2024,MTL,WPG
12/14/2024,STL,DAL
12/14/2024,NSH,COL
12/14/2024,FLA,CGY
12/14/2024,BOS,VAN
12/14/2024,UTH,SJS
12/14/2024,TBL,SEA
12/15/2024,NYI,CHI
12/15/2024,BUF,TOR
12/15/2024,CBJ,CAR
12/15/2024,NYR,STL
12/15/2024,VGK,MIN
12/16/2024,WSH,DAL
12/16/2024,FLA,EDM
12/16/2024,COL,VAN
12/17/2024,BUF,MTL
12/17/2024,CBJ,TBL
12/17/2024,LAK,PIT
12/17/2024,NYI,CAR
12/17/2024,NJD,STL
12/17/2024,NYR,NSH
12/17/2024,WSH,CHI
12/17/2024,BOS,CGY
12/17/2024,OTT,SEA
12/17/2024,WPG,SJS
12/18/2024,PHI,DET
12/18/2024,TOR,DAL
12/18/2024,FLA,MIN
12/18/2024,VAN,UTH
12/18/2024,WPG,ANA
12/19/2024,STL,TBL
12/19/2024,LAK,PHI
12/19/2024,NJD,CBJ
12/19/2024,PIT,NSH
12/19/2024,SEA,CHI
12/19/2024,OTT,CGY
12/19/2024,BOS,EDM
12/19/2024,VAN,VGK
12/19/2024,COL,SJS
12/20/2024,TOR,BUF
12/20/2024,MTL,DET
12/20/2024,STL,FLA
12/20/2024,CAR,WSH
12/20/2024,NYR,DAL
12/20/2024,UTH,MIN
12/20/2024,COL,ANA
12/21/2024,LAK,NSH
12/21/2024,CHI,CGY
12/21/2024,SJS,EDM
12/21/2024,BUF,BOS
12/21/2024,NYI,TOR
12/21/2024,DET,MTL
12/21/2024,PIT,NJD
12/21/2024,CBJ,PHI
12/21/2024,MIN,WPG
12/21/2024,OTT,VAN
12/21/2024,SEA,VGK
12/22/2024,CAR,NYR
12/22/2024,FLA,TBL
12/22/2024,LAK,WSH
12/22/2024,ANA,UTH
12/22/2024,SEA,COL
12/22/2024,OTT,EDM
12/23/2024,NYR,NJD
12/23/2024,WPG,TOR
12/23/2024,WSH,BOS
12/23/2024,STL,DET
12/23/2024,TBL,FLA
12/23/2024,PHI,PIT
12/23/2024,MTL,CBJ
12/23/2024,BUF,NYI
12/23/2024,CAR,NSH
12/23/2024,CHI,MIN
12/23/2024,SJS,VAN
12/23/2024,DAL,UTH
12/23/2024,ANA,VGK
12/27/2024,CHI,BUF
12/27/2024,TOR,DET
12/27/2024,CAR,NJD
12/27/2024,BOS,CBJ
12/27/2024,NSH,STL
12/27/2024,MIN,DAL
12/27/2024,COL,UTH
12/27/2024,VGK,SJS
12/28/2024,MTL,FLA
12/28/2024,SEA,VAN
12/28/2024,PHI,ANA
12/28/2024,EDM,LAK
12/28/2024,CBJ,BOS
12/28/2024,WSH,TOR
12/28/2024,NYR,TBL
12/28/2024,NJD,CAR
12/28/2024,OTT,WPG
12/28/2024,PIT,NYI
12/28/2024,CGY,SJS
12/29/2024,DAL,CHI
12/29/2024,EDM,ANA
12/29/2024,WSH,DET
12/29/2024,MTL,TBL
12/29/2024,NYI,PIT
12/29/2024,BUF,STL
12/29/2024,OTT,MIN
12/29/2024,CGY,VGK
12/29/2024,PHI,LAK
12/30/2024,NYR,FLA
12/30/2024,NSH,WPG
12/30/2024,UTH,SEA
12/31/2024,BOS,WSH
12/31/2024,NYI,TOR
12/31/2024,MTL,VGK
12/31/2024,STL,CHI
12/31/2024,PIT,DET
12/31/2024,CAR,CBJ
12/31/2024,BUF,DAL
12/31/2024,NSH,MIN
12/31/2024,WPG,COL
12/31/2024,NJD,ANA
12/31/2024,PHI,SJS
12/31/2024,VAN,CGY
12/31/2024,UTH,EDM
1/1/2025,NJD,LAK
1/2/2025,CAR,FLA
1/2/2025,BOS,NYR
1/2/2025,MIN,WSH
1/2/2025,DET,CBJ
1/2/2025,TOR,NYI
1/2/2025,OTT,DAL
1/2/2025,ANA,WPG
1/2/2025,BUF,COL
1/2/2025,UTH,CGY
1/2/2025,PHI,VGK
1/2/2025,VAN,SEA
1/2/2025,TBL,SJS
1/3/2025,PIT,FLA
1/3/2025,MTL,CHI
1/3/2025,OTT,STL
1/3/2025,ANA,EDM
1/3/2025,NSH,VAN
1/4/2025,NYR,WSH
1/4/2025,DET,WPG
1/4/2025,NJD,SJS
1/4/2025,BOS,TOR
1/4/2025,MIN,CAR
1/4/2025,STL,CBJ
1/4/2025,MTL,COL
1/4/2025,NSH,CGY
1/4/2025,UTH,DAL
1/4/2025,TBL,LAK
1/4/2025,BUF,VGK
1/4/2025,EDM,SEA
1/5/2025,NYR,CHI
1/5/2025,NYI,BOS
1/5/2025,PIT,CAR
1/5/2025,PHI,TOR
1/5/2025,TBL,ANA
1/6/2025,WSH,BUF
1/6/2025,VAN,MTL
1/6/2025,FLA,COL
1/6/2025,NJD,SEA
1/7/2025,EDM,BOS
1/7/2025,OTT,DET
1/7/2025,DAL,NYR
1/7/2025,TOR,PHI
1/7/2025,CBJ,PIT
1/7/2025,STL,MIN
1/7/2025,NSH,WPG
1/7/2025,CGY,ANA
1/7/2025,VGK,SJS
1/8/2025,VAN,WSH
1/8/2025,COL,CHI
